en_Dsrt,𐐯𐑅𐐻𐐬𐑌𐐨𐐲,𐑊𐐰𐐻𐑂𐐨𐐲,𐑊𐐮𐑃𐐲𐐶𐐩𐑌𐐨𐐲,False
km,អេស្តូនី,ឡេតូនី,លីទុយអានី,False
id,estonia,latvia,lituania,True
luo,estonia,latvia,lithuania,True
shi_Latn,istunya,latfya,litwanya,True
ie,estonia,lettonia,lituania,True
hu,észtország,lettország,litvánia,True
ceb,estonia,latvia,lithuania,True
et,eesti,läti,leedu,False
sr_Latn,estonija,letonija,litvanija,True
prg,estantauta,lattawa,laītawa,False
sl,estonija,latvija,litva,True
fur,estonie,letonie,lituanie,True
hy,էստոնիա,լատվիա,լիտվա,True
shn,ဢႄႇသတူဝ်းၼီးယႃး,လၢတ်ႈဝီႇယႃႇ,လီႉတူႇဝေးၼီးယႃး,False
wo,estoni,letoni,litiyani,True
ksf,ɛstoní,lɛtoní,litwaní,True
cy,estonia,latfia,lithwania,True
gez,ኤስቶኒያ,ላትቪያ,ሊቱዌኒያ,False
dsb,estniska,letiska,litawska,True
vai_Latn,ɛsitóninya,lativiya,lituweninya,True
kxv,esṭoniya,laṭviya,liṭuaania,True
bs,estonija,latvija,litvanija,True
lld,estonia,letonia,lituania,True
ksb,estonia,lativia,litwania,True
bez,huestonia,hulativia,hulitwania,True
ln,esitoni,letoni,litwani,True
an,estonia,letonia,lituania,True
byn,ኤስቶኒያ,ላትቪያ,ሊቱዌኒያ,False
kab,istunya,latvia,liṭwanya,True
cv,эстони,латви,литва,False
gsw,eestland,lettland,littaue,True
xog,esitoniya,lativya,lisuwenya,True
blo,ɛstoniya,lɛtfiya,lituwaniya,True
kl,estlandi,letlandi,litaueni,True
zu,i-estonia,i-latvia,i-lithuania,True
ff_Adlm,𞤫𞤧𞤼𞤮𞤲𞤭𞤴𞤢𞥄,𞤤𞤢𞤼𞤾𞤭𞤴𞤢,𞤤𞤭𞤼𞤵𞤾𞤢,False
no,estland,latvia,litauen,True
sw,estonia,latvia,lithuania,True
lb,estland,lettland,litauen,True
kde,estonia,lativia,litwania,True
ig,estonia,latvia,lithuania,True
mg,estonia,letonia,litoania,True
lu,esitoni,letoni,litwani,True
mai,एस्टोनिया,लातविया,लिथुआनिया,True
twq,estooni,letooni,lituaani,True
yue_Hans,爱沙尼亚,拉脱维亚,立陶宛,True
kn,ಎಸ್ಟೋನಿಯಾ,ಲಾಟ್ವಿಯಾ,ಲಿಥುವೇನಿಯಾ,True
yrl,isituniya,retuniya,rituwãniya,True
uz,estoniya,latviya,litva,True
sv,estland,lettland,litauen,True
ki,estonia,lativia,litwania,True
jv,éstonia,latvia,litowen,True
gu,એસ્ટોનિયા,લાત્વિયા,લિથુઆનિયા,True
tr,estonya,letonya,litvanya,True
sk,estónsko,lotyšsko,litva,False
ses,estooni,letooni,lituaani,True
ms,estonia,latvia,lithuania,True
bg,естония,латвия,литва,True
az_Cyrl,естонија,латвија,литва,True
ff,estoni,letonii,lituaanii,True
kk,эстония,латвия,литва,False
om,istooniyaa,lativiyaa,lutaaniyaa,True
yav,ɛstoni,letoní,litiyaní,True
ba,эстония,латвия,литва,False
rif,istunya,latevya,litwanya,True
es,estonia,letonia,lituania,True
nqo,ߋߛߑߕߏߣߌ߫,ߟߋߕߏߣߌ߫,ߟߎߕߎ߳ߦߊߣߌ߫,True
agq,èsɨ̀tonyìa,làtɨva,lètwǎnyìa,True
jmc,estonia,lativia,litwania,True
ps,استونیا,ليتهويا,لیتوانیا,True
kxv_Orya,ଏସ୍ଟନିଆ,ଲାତ୍‍ୱିୟା,ଲିତୁଆନିଆ,True
pl,estonia,łotwa,litwa,False
eu,estonia,letonia,lituania,True
yi,עסטלאַנד,לעטלאַנד,ליטע,False
vai,ꗡꔻꕿꕇꕰ,ꕞꔳꔲꕩ,ꔷꖤꔃꕇꕰ,False
frr,eestlun,letlun,litauen,True
sr,естонија,летонија,литванија,True
sbp,esitoniya,lativiya,litwaniya,True
brx,एस्ट’निया,लाटभीया,लिथुआनिया,True
mt,l-estonja,il-latvja,il-litwanja,False
it,estonia,lettonia,lituania,True
myv,эстэнь мастор,латвия,литва,False
vec,estonia,letonia,lituania,True
is,eistland,lettland,litháen,True
saq,estonia,lativia,litwania,True
zh_Hant,愛沙尼亞,拉脫維亞,立陶宛,False
sah,эстония,латвия,литва,False
kgp,enhtonĩja,retãnĩja,rituỹnĩja,True
asa,ethtonia,lativia,litwania,True
kxv_Telu,ఎస్టోనియా,లాత్వియా,లీతువేనియ,True
seh,estônia,letônia,lituânia,True
